#mu-156/   2 -156
#mu-151/   3 -151
#mu-146/   7 -146
#mu-140/  15 -140
#mu-135/  33 -135
#mu-131/  60 -131
#mu-129/  75 -129
#mu-127/ 106 -127
#mu-126/ 142 -126
#mu-125/ 161 -125
#mu-124/ 170 -124
#mu-123/ 209 -123
#mu-122/ 198 -122
#mu-120/ 236 -120
#mu-118/ 259 -118
#mu-115/ 301 -115
#mu-112/ 317 -112
#mu-110/ 100 -110
#mu-108/ 328 -108
mu-105  195 -105
mu-102/ 251 -102
#mu-98/  280  -98
mu-95/  303  -95
mu-91/  330  -91
#mu-88/  340  -88
mu-80/  370  -80
mu-79/  380  -79
#mu-78/  390  -78
#mu-75/  426  -75
#mu-57/  426  -57
